AERONET Version 3
Sao_Paulo
Version 3: Almucantar Level 1.5 Inversion
The following data are cloud cleared and quality controls have been applied but these data may not have final calibration applied.  These data may change.
All Points,Contact: PI=Paulo_Artaxo; PI Email=artaxo@if.usp.br 
UNITS can be found at,,, https://aeronet.gsfc.nasa.gov/new_web/units.html
Site,Date(dd:mm:yyyy),Time(hh:mm:ss),Day_of_Year,Day_of_Year(Fraction),Refractive_Index-Real_Part[440nm],Refractive_Index-Real_Part[675nm],Refractive_Index-Real_Part[870nm],Refractive_Index-Real_Part[1020nm],Refractive_Index-Imaginary_Part[440nm],Refractive_Index-Imaginary_Part[675nm],Refractive_Index-Imaginary_Part[870nm],Refractive_Index-Imaginary_Part[1020nm],Average_Solar_Zenith_Angles_for_Flux_Calculation(Degrees),Solar_Zenith_Angle_for_Measurement_Start(Degrees),Sky_Residual(%),Sun_Residual(%),Coincident_AOD440nm,Scattering_Angle_Bin_3.2_to_<6_degrees[440nm],Scattering_Angle_Bin_6_to_<30_degrees[440nm],Scattering_Angle_Bin_30_to_<80_degrees[440nm],Scattering_Angle_Bin_80_degrees_and_over[440nm],Scattering_Angle_Bin_3.2_to_<6_degrees[675nm],Scattering_Angle_Bin_6_to_<30_degrees[675nm],Scattering_Angle_Bin_30_to_<80_degrees[675nm],Scattering_Angle_Bin_80_degrees_and_over[675nm],Scattering_Angle_Bin_3.2_to_<6_degrees[870nm],Scattering_Angle_Bin_6_to_<30_degrees[870nm],Scattering_Angle_Bin_30_to_<80_degrees[870nm],Scattering_Angle_Bin_80_degrees_and_over[870nm],Scattering_Angle_Bin_3.2_to_<6_degrees[1020nm],Scattering_Angle_Bin_6_to_<30_degrees[1020nm],Scattering_Angle_Bin_30_to_<80_degrees[1020nm],Scattering_Angle_Bin_80_degrees_and_over[1020nm],Surface_Albedo[440m],Surface_Albedo[675m],Surface_Albedo[870m],Surface_Albedo[1020m],If_Retrieval_is_L2(without_L2_0.4_AOD_440_threshold),If_AOD_is_L2,Last_Processing_Date(dd:mm:yyyy),Last_Processing_Time(hh:mm:ss),Instrument_Number,Latitude(Degrees),Longitude(Degrees),Elevation(m),Inversion_Data_Quality_Level,Retrieval_Measurement_Scan_Type
Sao_Paulo,25:05:2017,19:16:48,145,145.803333,1.399100,1.410700,1.423900,1.425100,0.001182,0.001214,0.001231,0.001236,76.546432,75.957722,11.217216,0.132676,0.261592,4,5,6,4,3,2,5,4,4,4,5,3,4,6,2,1,0.059770,0.112820,0.226690,0.234290,0,1,10:02:2021,10:55:08,104,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,26:05:2017,10:55:06,146,146.454931,1.466700,1.415100,1.423600,1.419700,0.016701,0.014544,0.017446,0.020109,74.662125,75.244670,2.886188,0.016781,0.144936,4,10,7,6,4,10,7,6,4,10,7,5,4,10,7,6,0.058150,0.110480,0.223150,0.232400,1,1,11:07:2018,10:37:04,104,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,26:05:2017,11:20:59,146,146.472905,1.460000,1.456000,1.466700,1.468100,0.000500,0.000500,0.000500,0.000500,69.742637,70.302113,10.687712,0.309794,0.133478,4,10,7,6,4,10,7,5,4,9,4,5,4,10,4,5,0.055400,0.105220,0.211590,0.221320,0,1,10:02:2021,11:35:00,104,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,26:05:2017,12:06:00,146,146.504167,1.542300,1.521300,1.529800,1.536200,0.024686,0.019978,0.022387,0.022667,61.762606,62.266873,4.460317,0.189226,0.119180,3,10,8,5,3,10,8,4,3,10,6,1,3,10,8,3,0.052310,0.099340,0.198550,0.208920,0,1,11:07:2018,10:36:52,104,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,26:05:2017,14:06:03,146,146.587535,1.600000,1.600000,1.600000,1.600000,0.017380,0.025971,0.022218,0.017705,46.722644,46.936424,10.739488,1.333872,0.156508,4,10,8,3,3,10,8,2,1,6,6,1,4,4,6,1,0.049180,0.093470,0.185040,0.196230,0,1,11:07:2018,10:37:21,104,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,26:05:2017,18:05:59,146,146.754155,1.600000,1.581700,1.600000,1.600000,0.003734,0.003050,0.002453,0.002257,63.478572,62.964162,6.268413,0.476891,0.141148,3,10,8,5,3,6,7,5,2,5,5,3,1,3,7,1,0.052980,0.100320,0.200100,0.209780,0,1,11:07:2018,10:37:12,104,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,31:05:2017,12:06:37,151,151.504595,1.331800,1.373100,1.398300,1.402500,0.005212,0.005170,0.005525,0.005716,62.307120,62.806301,5.341433,0.120321,0.270900,3,10,8,5,3,7,7,3,2,7,5,5,3,6,6,4,0.052480,0.099660,0.199260,0.209580,1,1,11:07:2018,10:38:19,104,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,31:05:2017,14:06:41,151,151.587975,1.600000,1.600000,1.600000,1.600000,0.011193,0.010793,0.010526,0.010236,47.460212,47.670475,7.282571,0.269094,0.127766,4,10,8,3,3,10,7,3,2,10,7,1,4,10,8,1,0.049280,0.093660,0.185470,0.196630,0,1,11:07:2018,10:38:12,104,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,02:06:2017,10:59:03,153,153.457674,1.433200,1.450100,1.453700,1.452300,0.000500,0.000500,0.000500,0.000500,74.662858,75.237152,11.430990,0.195639,0.043217,3,10,7,6,4,10,7,6,4,10,7,5,4,10,7,4,0.059630,0.114880,0.226600,0.235370,0,1,12:07:2018,13:33:14,104,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,02:06:2017,11:25:24,153,153.475972,1.572900,1.577400,1.600000,1.600000,0.044475,0.042564,0.035783,0.041162,69.734277,70.283955,5.743264,0.112145,0.049719,2,10,7,5,4,10,7,6,4,10,4,2,4,10,5,4,0.056760,0.108990,0.214500,0.224130,0,1,11:07:2018,10:38:20,104,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,02:06:2017,14:06:57,153,153.588160,1.510100,1.507300,1.519700,1.523000,0.054409,0.065412,0.065988,0.068552,47.715536,47.924742,7.120803,0.173102,0.094974,4,7,7,3,4,9,8,2,4,8,4,1,4,7,3,1,0.050360,0.095910,0.187180,0.199080,0,1,11:07:2018,10:38:39,104,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,02:06:2017,16:06:57,153,153.671493,1.587600,1.569600,1.593800,1.598900,0.024918,0.023194,0.021862,0.021346,48.455639,48.222877,4.839020,0.132889,0.129594,3,10,6,4,3,10,7,4,4,10,7,2,4,10,5,2,0.050500,0.096130,0.187510,0.199260,0,1,11:07:2018,10:39:00,104,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,02:06:2017,18:06:53,153,153.754780,1.330000,1.352100,1.373600,1.388900,0.015008,0.010783,0.010259,0.010112,64.158852,63.651411,3.476181,0.094597,0.199337,2,10,7,5,2,6,3,5,3,8,3,2,3,6,4,3,0.054490,0.104000,0.203510,0.213340,0,1,11:07:2018,10:39:24,104,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,02:06:2017,18:47:48,153,153.783194,1.330000,1.345000,1.367000,1.378600,0.021894,0.016364,0.016826,0.017070,71.455163,70.898972,4.117515,0.014910,0.210527,4,10,7,6,4,10,7,6,4,10,7,4,4,10,7,4,0.057880,0.110730,0.216950,0.225350,1,1,11:07:2018,10:39:47,104,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,02:06:2017,19:14:09,153,153.801493,1.403400,1.394000,1.411500,1.416400,0.036745,0.023429,0.022469,0.022854,76.457405,75.878205,4.275894,0.021608,0.227516,4,10,7,6,4,10,6,5,4,10,5,5,4,10,5,4,0.061220,0.117330,0.230020,0.237080,1,1,11:07:2018,10:38:44,104,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,03:06:2017,10:59:35,154,154.458044,1.425000,1.410400,1.419700,1.417200,0.007367,0.007288,0.008913,0.009543,74.661208,75.234496,7.579271,0.069323,0.120595,4,10,7,6,3,7,3,6,4,10,5,2,4,9,2,2,0.059630,0.114880,0.226600,0.235360,0,1,11:07:2018,10:38:23,104,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,03:06:2017,12:07:02,154,154.504884,1.386300,1.400300,1.434100,1.431000,0.013074,0.011830,0.011440,0.011784,62.587852,63.084542,4.852574,0.087287,0.125666,3,10,8,5,1,5,8,4,2,10,4,3,3,10,7,2,0.053810,0.102940,0.202010,0.212590,0,1,11:07:2018,10:38:31,104,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,03:06:2017,14:07:06,154,154.588264,1.557300,1.557600,1.590100,1.588500,0.012662,0.012133,0.011537,0.011606,47.833466,48.042166,6.442246,0.128177,0.111822,4,10,8,3,3,3,8,3,3,4,3,2,4,10,6,1,0.050380,0.095940,0.187260,0.199150,0,1,11:07:2018,10:38:07,104,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,03:06:2017,16:07:06,154,154.671597,1.477400,1.473000,1.475300,1.480700,0.000500,0.000500,0.000500,0.000500,48.568818,48.336738,9.086694,0.519254,0.143966,3,11,7,4,4,10,7,4,4,10,7,2,4,10,7,3,0.050520,0.096160,0.187590,0.199320,0,1,12:07:2018,13:33:27,104,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,03:06:2017,17:07:02,154,154.713218,1.407900,1.408600,1.421600,1.424700,0.014296,0.011656,0.011459,0.011372,55.051117,54.652901,3.888855,0.118531,0.225944,4,10,8,4,3,10,6,3,4,9,4,2,4,8,3,2,0.051790,0.098650,0.192710,0.203780,0,1,11:07:2018,10:38:35,104,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,03:06:2017,18:07:02,154,154.754884,1.490700,1.473300,1.484100,1.490100,0.003568,0.003446,0.003423,0.003407,64.238246,63.731642,6.411379,0.183306,0.184665,3,1,5,5,3,3,1,5,3,1,5,4,3,2,3,4,0.054520,0.104060,0.203630,0.213450,0,1,11:07:2018,10:39:11,104,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,03:06:2017,19:13:57,154,154.801354,1.502800,1.471900,1.477500,1.475400,0.016909,0.015495,0.015526,0.015592,76.451948,75.873725,4.840190,0.037714,0.132076,4,9,7,6,4,8,5,5,4,6,6,4,4,7,5,4,0.061210,0.117320,0.230010,0.237070,1,1,11:07:2018,10:39:02,104,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,04:06:2017,12:07:11,155,155.504988,1.330000,1.355400,1.372500,1.377300,0.006548,0.006584,0.006995,0.007081,62.672657,63.168606,4.598471,0.138064,0.144202,3,10,8,5,3,10,7,4,1,10,7,4,3,10,8,1,0.053840,0.103000,0.202140,0.212700,0,1,11:07:2018,10:38:52,104,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,04:06:2017,17:07:12,155,155.713333,1.561100,1.568600,1.574900,1.576400,0.000500,0.000500,0.000500,0.000500,55.144140,54.746738,12.729166,0.791068,0.089356,3,10,8,4,4,10,8,3,1,10,5,2,2,10,5,2,0.051810,0.098700,0.192790,0.203860,0,1,10:02:2021,13:22:20,104,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,04:06:2017,18:07:11,155,155.754988,1.600000,1.586700,1.599400,1.600000,0.019228,0.018450,0.019608,0.019454,64.312300,63.806498,4.339529,0.131249,0.086761,2,10,8,5,3,10,8,4,3,10,8,2,3,10,8,3,0.054550,0.104110,0.203750,0.213550,0,1,11:07:2018,10:38:38,104,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,04:06:2017,18:47:18,155,155.782847,1.599300,1.584700,1.588200,1.599800,0.015045,0.012582,0.013010,0.012589,71.439203,70.885293,3.441210,0.054708,0.074584,4,10,7,6,4,10,7,6,4,10,7,4,4,10,7,1,0.057880,0.110710,0.216910,0.225320,0,1,11:07:2018,10:38:56,104,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,04:06:2017,19:13:44,155,155.801204,1.600000,1.552500,1.556500,1.555200,0.016315,0.011915,0.011043,0.011311,76.438860,75.861598,2.729011,0.038316,0.080097,4,10,7,5,4,10,7,5,4,10,7,5,4,10,6,3,0.061200,0.117300,0.229970,0.237040,1,1,11:07:2018,10:39:13,104,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,07:06:2017,16:07:45,158,158.672049,1.600000,1.600000,1.600000,1.600000,0.017647,0.016936,0.015509,0.014452,48.959690,48.730005,6.699195,0.828765,0.151795,3,11,7,3,3,11,6,3,2,11,5,1,3,11,5,1,0.050590,0.096290,0.187860,0.199560,0,1,11:07:2018,10:38:55,104,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,05:09:2017,10:24:48,248,248.433889,1.506500,1.491700,1.523100,1.532500,0.040971,0.013167,0.012312,0.011568,74.082543,74.745852,1.316436,0.024124,0.123231,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,5,0.061030,0.121880,0.233040,0.244410,1,1,11:07:2018,10:43:21,104,-23.561500,-46.734983,786.000000,lev15,Almucantar
